Title,Year,Certificate,Rating
A League of Their Own,2007.0,U,7.3
Weird Science,2007.0,Not Rated,6.6
Lost in Translation,2007.0,UA,7.7
X-Men: The Last Stand,2007.0,A,6.6
Moana,2007.0,U,7.6
The Family Plan,2007.0,PG-13,6.3
Ferris Bueller's Day Off,2007.0,U,7.8
Jumanji,2007.0,UA,7.1
The Last Voyage of the Demeter,2007.0,R,6.1
Breathe,1991.0,PG-13,3.7
Alien: Covenant,1991.0,A,6.4
Fiesta en la madriguera,1991.0,none,5.5
BlackBerry,1991.0,R,7.4
The Lion King,1991.0,U,6.8
Miss Peregrine's Home for Peculiar Children,1991.0,U,6.7
Emma.,1991.0,UA 13+,6.7
Scream VI,1991.0,A,6.5
(500) Days of Summer,1991.0,UA,7.7
Iron Man,1991.0,UA,7.9
Sting,1991.0,R,5.8
Les Misérables,1991.0,A,7.5
Men in Black,1991.0,UA,7.3
Suicide Squad,1991.0,UA,5.9
X-Men: Apocalypse,1991.0,UA,6.9
Thelma,1991.0,PG-13,7.6
RoboCop,1991.0,UA,7.6
The Hobbit: An Unexpected Journey,1991.0,UA,7.8
We're the Millers,1991.0,A,7.0
Strays,1991.0,R,6.3
Captain America: The First Avenger,1991.0,13,6.9
Underworld,1991.0,A,7.0
Avatar,1991.0,UA,7.9
The Girl Next Door,1991.0,A,6.7
Ocean's Eleven,1991.0,UA,7.7
Apocalypto,1991.0,A,7.8
The Virgin Suicides,1991.0,R,7.2
Pirates of the Caribbean: Dead Men Tell No Tales,1991.0,UA,6.5
La vie d'Adèle,1991.0,A,7.7
Point Break,1991.0,A,7.3
Les trois mousquetaires : D'Artagnan,1991.0,UA,6.7
Three Amigos!,1991.0,U,6.5
Harry Potter and the Prisoner of Azkaban,1991.0,U,7.9
Three Thousand Years of Longing,1991.0,A,6.7
The Revenant,1991.0,A,8.0
Next Goal Wins,1991.0,PG-13,6.5
Don't Look Up,1991.0,18,7.2
Taken,1991.0,A,7.7
1917,1991.0,R,8.2
Shin Gojira,1991.0,Not Rated,6.8
Teenage Mutant Ninja Turtles: Mutant Mayhem,1991.0,PG,7.2
Sing 2,1991.0,U,7.3
The Avengers,1991.0,UA,8.0
Fighter,1991.0,UA,6.2
La vita è bella,1991.0,U,8.6
Annihilation,2024.0,18,6.8
The Proposal,2024.0,A,6.8
Bohemian Rhapsody,2024.0,UA,7.9
Elvis,2024.0,UA,7.3
Catch Me If You Can,2024.0,A,8.1
Irréversible,2024.0,Not Rated,7.3
A Haunting in Venice,2024.0,PG-13,6.5
The Descent,2024.0,A,7.2
Pretty Baby,2024.0,A,6.5
Sisu,2024.0,A,6.9
Zootopia,2024.0,U,8.0
Rocketman,2024.0,A,7.3
Hundreds of Beavers,2024.0,none,7.8
Fancy Dance,2024.0,R,7.2
Psycho,2024.0,A,8.5
Ready or Not,2024.0,A,6.9
Kill Bill: Vol. 2,2024.0,A,8.0
Predator,2024.0,A,7.8
Suspiria,2024.0,A,6.7
Uncharted,2024.0,UA,6.3
Clueless,2024.0,U,6.9
Fast Times at Ridgemont High,2024.0,UA,7.1
Police Academy,2024.0,A,6.7
A Bronx Tale,2024.0,R,7.8
"LaRoy, Texas",2024.0,none,6.4
Jumanji: The Next Level,2024.0,UA,6.7
Kong: Skull Island,2024.0,UA,6.7
Grown Ups 2,2024.0,A,5.4
Spaceballs,2024.0,UA,7.1
Dronningen,2024.0,18,7.0
Imaginary,2024.0,PG-13,4.7
La belle et la bête,2024.0,12+,6.4
Office Space,2024.0,R,7.6
Justice League: Crisis on Infinite Earths - Part One,2024.0,PG-13,6.3
Puss in Boots: The Last Wish,2024.0,U,7.8
Kids,2024.0,A,7.0
Gerald's Game,2024.0,18,6.5
Basic Instinct,2024.0,A,7.1
The Rover,2024.0,R,6.4
Malèna,2024.0,A,7.4
Encanto,2024.0,U,7.2
Casino,2024.0,A,8.2
The Flood,2024.0,R,3.1
Evil Dead Rise,2024.0,A,6.5
The Exorcist,2024.0,A,8.1
Maidaan,2024.0,none,8.4
Raiders of the Lost Ark,2024.0,A,8.4
The Hunger Games: Catching Fire,2024.0,UA,7.5
A Simple Favor,2024.0,15+,6.8
The Unbearable Weight of Massive Talent,2012.0,A,7.0
The Goat Life,2012.0,none,8.6
The Accountant,2012.0,18,7.3
Aftersun,2012.0,R,7.6
Dirty Dancing,2012.0,U,7.1
Reservoir Dogs,2012.0,15+,8.3
A Man Called Otto,2012.0,UA,7.5
X2,2012.0,UA,7.4
A Quiet Place Part II,2012.0,A,7.2
La mesita del comedor,2012.0,none,7.0
Her,2012.0,A,8.0
Masters of the Universe,2012.0,U,5.4
Dunkirk,2012.0,UA,7.8
Jagten,2012.0,7,8.3
Tusk,2012.0,16,5.3
Scream,2012.0,A,7.4
Tropic Thunder,2012.0,R,7.1
E.T. the Extra-Terrestrial,2012.0,U,7.9
Full Metal Jacket,2012.0,UA,8.3
Edge of Tomorrow,2012.0,UA,7.9
The Last of the Mohicans,2012.0,UA,7.7
The Baby,2012.0,none,6.1
Liar Liar,2012.0,UA,6.9
Spider-Man: Into the Spider-Verse,2012.0,U,8.4
Dark Passage,2012.0,none,7.5
Bring It On,2012.0,PG-13,6.1
Gekijôban Spy x Family Code: White,2012.0,UA 13+,7.4
Speak No Evil,2012.0,none,6.6
Star Trek Beyond,2012.0,UA,7.0
Der Untergang,2012.0,UA,8.2
Deep Water,2012.0,A,5.5
King Kong,2012.0,UA,7.2
The Amazing Spider-Man,2012.0,UA,6.9
Kick-Ass,2012.0,UA,7.6
Nobody,2012.0,A,7.4
The Thing,2012.0,A,8.2
The Imitation Game,2012.0,UA,8.0
Bridesmaids,2012.0,UA 16+,6.8
Legally Blonde,2012.0,U,6.5
Harry Potter and the Chamber of Secrets,2012.0,U,7.4
Fargo,2012.0,A,8.1
The Place Beyond the Pines,2012.0,A,7.3
Secretary,2012.0,A,6.9
Fury,2012.0,A,7.6
The Banshees of Inisherin,2012.0,A,7.7
Martyrs,2012.0,A,7.0
Scream,2012.0,A,6.3
A Few Good Men,2012.0,U,7.7
Ghostbusters,1996.0,UA,6.8
Passengers,1996.0,UA,7.0
The Devil's Advocate,1996.0,A,7.5
Kimi no na wa.,1996.0,U,8.4
There's Something About Mary,1996.0,A,7.1
Elemental,1996.0,U,7.0
Habitación en Roma,1996.0,none,6.1
The Whale,1996.0,A,7.7
Mrs. Doubtfire,1996.0,U,7.1
Cannibal Holocaust,1996.0,A,5.8
Mamma Mia!,1996.0,A,6.5
Coco,1996.0,U,8.4
Operation Fortune: Ruse de Guerre,1996.0,A,6.3
White Chicks,1996.0,A,5.8
The Princess Diaries,1996.0,U,6.4
Armageddon,1996.0,UA,6.7
Trainspotting,1996.0,A,8.1
Prey,1996.0,16,7.1
Jurassic World: Fallen Kingdom,1996.0,UA,6.1
Shrek 2,1996.0,U,7.3
The Exorcist: Believer,1996.0,R,4.8
About Time,1996.0,16,7.8
Cowboys & Aliens,1996.0,13,6.0
Hauru no ugoku shiro,1996.0,U,8.2
Ghosted,1996.0,U/A 16+,5.8
Yodha,1996.0,UA,5.8
Mother's Day,1996.0,UA,5.6
Finding Nemo,1996.0,U,8.2
"Monsters, Inc.",1996.0,U,8.1
Everybody Wants Some!!,1996.0,R,6.9
True Romance,1996.0,A,7.9
Hamilton,1996.0,12+,8.3
Independence Day,1996.0,UA,7.0
